501,NEW YORK,NY
502,BINGHAMTON,NY
506,BOSTON,MA
514,BUFFALO,NY
521,PROVIDENCE-NEW BEDFORD,MA
523,BURLINGTON-PLATTSBURGH,NY
526,UTICA,NY
532,ALBANY-SCHENECTADY-TROY,MA
538,"ROCHESTER, NY",NY
543,SPRINGFIELD-HOLYOKE,MA
549,WATERTOWN,NY
555,SYRACUSE,NY
565,ELMIRA,NY
581,TERRE HAUTE,IL
602,CHICAGO,IL
609,SAINT LOUIS,IL
610,ROCKFORD,IL
632,PADUCAH-CAPE GIRARDEAU-HARRISBURG,IL
648,CHAMPAIGN-SPRINGFIELD-DECATUR,IL
649,EVANSVILLE,IL
675,PEORIA-BLOOMINGTON,IL
682,DAVENPORT-ROCK ISLAND-MOLINE,IL
717,QUINCY-HANNIBAL-KEOKUK,IL
771,YUMA-EL CENTRO,CA
800,BAKERSFIELD,CA
802,EUREKA,CA
803,LOS ANGELES,CA
807,SAN FRANCISCO-OAKLAND-SAN JOSE,CA
811,RENO,CA
813,MEDFORD-KLAMATH FALLS,CA
825,SAN DIEGO,CA
828,MONTEREY-SALINAS,CA
855,SANTA BARBARA-SAN MAR-SAN LUIS OBISPO,CA
862,SACRAMENTO-STOCKTON-MODESTO,CA
866,FRESNO-VISALIA,CA
868,CHICO-REDDING,CA
